	0
mmu-miR-3473f	19
mmu-mir-6346	80
mmu-miR-6346	21
mmu-mir-128-1	69
mmu-miR-128-1-5p	20
mmu-miR-128-3p	20
mmu-mir-135b	96
mmu-miR-135b-5p	22
mmu-miR-135b-3p	21
mmu-mir-6903	87
mmu-miR-6903-5p	21
mmu-miR-6903-3p	19
mmu-mir-5104b	65
mmu-miR-5104b-5p	21
mmu-mir-1231	80
mmu-miR-1231-5p	22
mmu-miR-1231-3p	22
mmu-mir-181a-1	86
mmu-miR-181a-5p	22
mmu-miR-181a-1-3p	21
mmu-mir-181b-1	79
mmu-miR-181b-5p	23
mmu-miR-181b-1-3p	20
mmu-mir-7682	57
mmu-miR-7682-5p	23
mmu-miR-7682-3p	20
mmu-mir-8114	110
mmu-miR-8114	20
mmu-mir-488	108
mmu-miR-488-5p	20
mmu-miR-488-3p	20
mmu-mir-1843b	65
mmu-miR-1843b-5p	20
mmu-miR-1843b-3p	19
mmu-mir-1927	108
mmu-miR-1927	22
mmu-mir-199a-2	109
mmu-miR-199a-5p	22
mmu-miR-199a-3p	21
mmu-mir-214	109
mmu-miR-214-5p	21
mmu-miR-214-3p	21
mmu-mir-12178	62
mmu-miR-12178-5p	23
mmu-miR-12178-3p	21
mmu-mir-6347	100
mmu-miR-6347	21
mmu-mir-6348	119
mmu-miR-6348	21
mmu-mir-6354	115
mmu-miR-6354	20
mmu-mir-6546	61
mmu-miR-6546-5p	23
mmu-miR-6546-3p	20
mmu-mir-7683	60
mmu-miR-7683-5p	21
mmu-miR-7683-3p	20
mmu-mir-350	98
mmu-miR-350-5p	18
mmu-miR-350-3p	21
mmu-mir-12179	77
mmu-miR-12179-5p	18
mmu-mir-6904	66
mmu-miR-6904-5p	21
mmu-miR-6904-3p	17
mmu-mir-1981	81
mmu-miR-1981-5p	23
mmu-miR-1981-3p	20
mmu-mir-664	68
mmu-miR-664-5p	20
mmu-miR-664-3p	21
mmu-mir-194-1	66
mmu-miR-194-5p	21
mmu-miR-194-1-3p	21
mmu-mir-215	111
mmu-miR-215-5p	20
mmu-miR-215-3p	20
mmu-mir-3473c	80
mmu-miR-3473c	21
mmu-mir-205	67
mmu-miR-205-5p	21
mmu-miR-205-3p	21
mmu-mir-3962	63
mmu-miR-3962	19
mmu-mir-29b-2	80
mmu-miR-29b-2-5p	24
mmu-miR-29b-3p	22
mmu-mir-29c	87
mmu-miR-29c-5p	21
mmu-miR-29c-3p	21
mmu-mir-5104	93
mmu-miR-5104	23
mmu-mir-6413	107
mmu-miR-6413	20
mmu-mir-7663	60
mmu-miR-7663-5p	22
mmu-miR-7663-3p	21
mmu-mir-6905	69
mmu-miR-6905-5p	22
mmu-miR-6905-3p	20
mmu-mir-3473b	54
mmu-miR-3473b	19
mmu-mir-1929	92
mmu-miR-1929-5p	22
mmu-miR-1929-3p	21
mmu-mir-6906	57
mmu-miR-6906-5p	23
mmu-miR-6906-3p	20
mmu-mir-6408	90
mmu-miR-6408	23
mmu-mir-466j	121
mmu-miR-466j	22
mmu-mir-5108	84
mmu-miR-5108	18
mmu-mir-7662	60
mmu-miR-7662-5p	21
mmu-miR-7662-3p	23
mmu-mir-7215	50
mmu-miR-7215-5p	24
mmu-miR-7215-3p	22
mmu-mir-6409	91
mmu-miR-6409	22
mmu-mir-678	83
mmu-miR-678	21
mmu-mir-1930	83
mmu-miR-1930-5p	21
mmu-miR-1930-3p	21
mmu-mir-7659	57
mmu-miR-7659-5p	21
mmu-miR-7659-3p	22
mmu-mir-6907	70
mmu-miR-6907-5p	21
mmu-miR-6907-3p	22
mmu-mir-6410	103
mmu-miR-6410	21
mmu-mir-6908	62
mmu-miR-6908-5p	21
mmu-miR-6908-3p	21
mmu-mir-6909	61
mmu-miR-6909-5p	21
mmu-miR-6909-3p	21
mmu-mir-6910	65
mmu-miR-6910-5p	22
mmu-miR-6910-3p	21
mmu-mir-6911	68
mmu-miR-6911-5p	22
mmu-miR-6911-3p	20
mmu-mir-6912	69
mmu-miR-6912-5p	21
mmu-miR-6912-3p	24
mmu-mir-1982	73
mmu-miR-1982-5p	19
mmu-miR-1982-3p	22
mmu-mir-5615-1	59
mmu-miR-5615-5p	21
mmu-miR-5615-3p	21
mmu-mir-5615-2	59
mmu-miR-5615-5p	21
mmu-miR-5615-3p	21
mmu-mir-3057	90
mmu-miR-3057-5p	23
mmu-miR-3057-3p	21
mmu-mir-6913	65
mmu-miR-6913-5p	21
mmu-miR-6913-3p	22
mmu-mir-1191b	57
mmu-miR-1191b-5p	21
mmu-miR-1191b-3p	21
mmu-mir-135a-2	99
mmu-miR-135a-5p	22
mmu-miR-135a-2-3p	20
mmu-mir-1251	83
mmu-miR-1251-5p	20
mmu-miR-1251-3p	20
mmu-mir-1931	118
mmu-miR-1931	21
mmu-mir-7688	55
mmu-miR-7688-5p	22
mmu-miR-7688-3p	20
mmu-mir-331	95
mmu-miR-331-5p	21
mmu-miR-331-3p	20
mmu-mir-7211	62
mmu-miR-7211-5p	21
mmu-miR-7211-3p	22
mmu-mir-3058	90
mmu-miR-3058-5p	22
mmu-miR-3058-3p	20
mmu-mir-3966	84
mmu-miR-3966	20
mmu-mir-3059	80
mmu-miR-3059-5p	21
mmu-miR-3059-3p	21
mmu-mir-6411	107
mmu-miR-6411	20
mmu-mir-12180	68
mmu-miR-12180-3p	17
mmu-mir-763	119
mmu-miR-763	21
mmu-mir-6412	96
mmu-miR-6412	21
mmu-mir-8104	100
mmu-miR-8104	21
mmu-let-7i	84
mmu-let-7i-5p	21
mmu-let-7i-3p	21
mmu-mir-378d	109
mmu-miR-378d	21
mmu-mir-26a-2	83
mmu-miR-26a-5p	21
mmu-miR-26a-2-3p	21
mmu-mir-546	120
mmu-miR-546	15
mmu-mir-677	77
mmu-miR-677-5p	21
mmu-miR-677-3p	25
mmu-mir-6914	68
mmu-miR-6914-5p	23
mmu-miR-6914-3p	18
mmu-mir-6915	68
mmu-miR-6915-5p	23
mmu-miR-6915-3p	21
mmu-mir-8105	88
mmu-miR-8105	21
mmu-mir-6916	62
mmu-miR-6916-5p	20
mmu-miR-6916-3p	21
mmu-mir-6917	60
mmu-miR-6917-5p	20
mmu-miR-6917-3p	21
mmu-mir-3060	82
mmu-miR-3060-5p	19
mmu-miR-3060-3p	21
mmu-mir-6918	57
mmu-miR-6918-5p	22
mmu-miR-6918-3p	21
mmu-mir-7651	63
mmu-miR-7651-5p	21
mmu-miR-7651-3p	23
mmu-mir-1933	87
mmu-miR-1933-5p	23
mmu-miR-1933-3p	21
mmu-mir-6372	108
mmu-miR-6372	22
mmu-mir-216b	85
mmu-miR-216b-5p	21
mmu-miR-216b-3p	21
mmu-mir-216c	68
mmu-miR-216c-5p	22
mmu-miR-216c-3p	22
mmu-mir-216a	71
mmu-miR-216a-5p	21
mmu-miR-216a-3p	21
mmu-mir-217	107
mmu-miR-217-5p	22
mmu-miR-217-3p	22
mmu-mir-218-2	109
mmu-miR-218-5p	20
mmu-miR-218-2-3p	21
mmu-mir-103-1	85
mmu-miR-103-1-5p	22
mmu-miR-103-3p	22
mmu-mir-146a	64
mmu-miR-146a-5p	21
mmu-miR-146a-3p	21
mmu-mir-8100	120
mmu-miR-8100	22
mmu-mir-7239	56
mmu-miR-7239-5p	19
mmu-miR-7239-3p	19
mmu-mir-340	97
mmu-miR-340-5p	21
mmu-miR-340-3p	21
mmu-mir-6919	61
mmu-miR-6919-5p	22
mmu-miR-6919-3p	20
mmu-mir-804	94
mmu-miR-804	21
mmu-mir-3061	90
mmu-miR-3061-5p	21
mmu-miR-3061-3p	21
mmu-mir-6920	70
mmu-miR-6920-5p	21
mmu-miR-6920-3p	20
mmu-mir-7671	57
mmu-miR-7671-5p	22
mmu-miR-7671-3p	21
mmu-mir-7652	55
mmu-miR-7652-5p	21
mmu-miR-7652-3p	20
mmu-mir-6921	79
mmu-miR-6921-5p	21
mmu-miR-6921-3p	20
mmu-mir-6922	65
mmu-miR-6922-5p	22
mmu-miR-6922-3p	22
mmu-mir-5100	63
mmu-miR-5100	20
mmu-mir-744	99
mmu-miR-744-5p	21
mmu-miR-744-3p	21
mmu-mir-6923	71
mmu-miR-6923-5p	23
mmu-miR-6923-3p	20
mmu-mir-6406	119
mmu-miR-6406	21
mmu-mir-3062	104
mmu-miR-3062-5p	21
mmu-miR-3062-3p	18
mmu-mir-467f	119
mmu-miR-467f	20
mmu-mir-1934	82
mmu-miR-1934-5p	22
mmu-miR-1934-3p	21
mmu-mir-6924	62
mmu-miR-6924-5p	22
mmu-miR-6924-3p	20
mmu-mir-324	88
mmu-miR-324-5p	22
mmu-miR-324-3p	19
mmu-mir-497b	124
mmu-miR-497b	23
mmu-mir-497a	83
mmu-miR-497a-5p	21
mmu-miR-497a-3p	20
mmu-mir-195a	93
mmu-miR-195a-5p	20
mmu-miR-195a-3p	21
mmu-mir-7115	63
mmu-miR-7115-5p	23
mmu-miR-7115-3p	21
mmu-mir-6925	69
mmu-miR-6925-5p	21
mmu-miR-6925-3p	17
mmu-mir-6338	108
mmu-miR-6338	20
mmu-mir-6926	67
mmu-miR-6926-5p	21
mmu-miR-6926-3p	20
mmu-mir-212	90
mmu-miR-212-5p	22
mmu-miR-212-3p	21
mmu-mir-132	65
mmu-miR-132-5p	21
mmu-miR-132-3p	21
mmu-mir-22	94
mmu-miR-22-5p	21
mmu-miR-22-3p	21
mmu-mir-3971	82
mmu-miR-3971	21
mmu-mir-423	108
mmu-miR-423-5p	22
mmu-miR-423-3p	22
mmu-mir-12181	56
mmu-miR-12181-5p	21
mmu-miR-12181-3p	20
mmu-mir-144	65
mmu-miR-144-5p	22
mmu-miR-144-3p	19
mmu-mir-451b	71
mmu-miR-451b	20
mmu-mir-451a	71
mmu-miR-451a	21
mmu-mir-7653	60
mmu-miR-7653-5p	21
mmu-miR-7653-3p	21
mmu-mir-193a	65
mmu-miR-193a-5p	21
mmu-miR-193a-3p	21
mmu-mir-365-2	111
mmu-miR-365-3p	21
mmu-miR-365-2-5p	22
mmu-mir-7679	62
mmu-miR-7679-5p	19
mmu-miR-7679-3p	23
mmu-mir-5110	86
mmu-miR-5110	24
mmu-mir-21a	91
mmu-miR-21a-5p	21
mmu-miR-21a-3p	21
mmu-mir-12182	54
mmu-miR-12182-5p	21
mmu-miR-12182-3p	21
mmu-mir-301a	85
mmu-miR-301a-5p	21
mmu-miR-301a-3p	22
mmu-mir-142b	114
mmu-miR-142b	19
mmu-mir-142a	63
mmu-miR-142a-5p	20
mmu-miR-142a-3p	22
mmu-mir-378b	91
mmu-miR-378b	19
mmu-mir-3063	91
mmu-miR-3063-5p	20
mmu-miR-3063-3p	21
mmu-mir-196a-1	101
mmu-miR-196a-5p	21
mmu-miR-196a-1-3p	21
mmu-mir-10a	109
mmu-miR-10a-5p	22
mmu-miR-10a-3p	21
mmu-mir-152	72
mmu-miR-152-5p	23
mmu-miR-152-3p	20
mmu-mir-8103	106
mmu-miR-8103	20
mmu-mir-7235	55
mmu-miR-7235-5p	17
mmu-miR-7235-3p	22
mmu-mir-6927	70
mmu-miR-6927-5p	21
mmu-miR-6927-3p	20
mmu-mir-8102	138
mmu-miR-8102	21
mmu-mir-5119	56
mmu-miR-5119	18
mmu-mir-7116	69
mmu-miR-7116-5p	20
mmu-miR-7116-3p	21
mmu-mir-6928	69
mmu-miR-6928-5p	22
mmu-miR-6928-3p	21
mmu-mir-6929	66
mmu-miR-6929-5p	20
mmu-miR-6929-3p	22
mmu-mir-8101	110
mmu-miR-8101	21
mmu-mir-6930	67
mmu-miR-6930-5p	22
mmu-miR-6930-3p	20
mmu-mir-6931	73
mmu-miR-6931-5p	20
mmu-miR-6931-3p	20
mmu-mir-3064	66
mmu-miR-3064-5p	21
mmu-miR-3064-3p	21
mmu-mir-6932	57
mmu-miR-6932-5p	21
mmu-miR-6932-3p	20
mmu-mir-7223	68
mmu-miR-7223-5p	19
mmu-miR-7223-3p	16
mmu-mir-3968	99
mmu-miR-3968	20
mmu-mir-5621	62
mmu-miR-5621-5p	22
mmu-miR-5621-3p	20
mmu-mir-6516	109
mmu-miR-6516-5p	21
mmu-miR-6516-3p	21
mmu-mir-6933	80
mmu-miR-6933-5p	21
mmu-miR-6933-3p	19
mmu-mir-6934	61
mmu-miR-6934-5p	21
mmu-miR-6934-3p	21
mmu-mir-1932	89
mmu-miR-1932	21
mmu-mir-338	97
mmu-miR-338-5p	21
mmu-miR-338-3p	21
mmu-mir-3065	86
mmu-miR-3065-5p	21
mmu-miR-3065-3p	22
mmu-mir-6935	63
mmu-miR-6935-5p	21
mmu-miR-6935-3p	19
mmu-mir-6936	53
mmu-miR-6936-5p	20
mmu-miR-6936-3p	20
mmu-mir-7236	59
mmu-miR-7236-5p	23
mmu-miR-7236-3p	21
mmu-mir-7675	57
mmu-miR-7675-5p	21
mmu-miR-7675-3p	20
mmu-mir-6387	107
mmu-miR-6387	21
mmu-mir-3066	82
mmu-miR-3066-5p	21
mmu-miR-3066-3p	21
mmu-mir-6538	109
mmu-miR-6538	18
mmu-mir-6937	64
mmu-miR-6937-5p	23
mmu-miR-6937-3p	22
mmu-mir-680-3	86
mmu-miR-680	20
mmu-mir-5099	73
mmu-miR-5099	19
mmu-mir-1938	99
mmu-miR-1938	21
mmu-mir-5627	60
mmu-miR-5627-5p	21
mmu-miR-5627-3p	23
mmu-mir-1892	79
mmu-miR-1892	21
mmu-mir-681	109
mmu-miR-681	20
mmu-mir-9718	63
mmu-miR-9718	19
mmu-mir-5101	82
mmu-miR-5101	21
mmu-mir-5135	78
mmu-miR-5135	23
mmu-mir-1843a	64
mmu-miR-1843a-5p	20
mmu-miR-1843a-3p	21
mmu-mir-3067	83
mmu-miR-3067-5p	22
mmu-miR-3067-3p	22
mmu-mir-6938	62
mmu-miR-6938-5p	22
mmu-miR-6938-3p	21
mmu-mir-3068	78
mmu-miR-3068-5p	23
mmu-miR-3068-3p	21
mmu-mir-8099-2	126
mmu-miR-8099	20
mmu-mir-1190	95
mmu-miR-1190	21
mmu-mir-1936	92
mmu-miR-1936	22
mmu-mir-12183	47
mmu-miR-12183-5p	17
mmu-mir-3069	64
mmu-miR-3069-5p	23
mmu-miR-3069-3p	21
mmu-mir-342	98
mmu-miR-342-5p	21
mmu-miR-342-3p	22
mmu-mir-345	95
mmu-miR-345-5p	21
mmu-miR-345-3p	21
mmu-mir-1906-1	79
mmu-miR-1906	21
mmu-mir-770	93
mmu-miR-770-5p	21
mmu-miR-770-3p	21
mmu-mir-673	90
mmu-miR-673-5p	21
mmu-miR-673-3p	22
mmu-mir-493	82
mmu-miR-493-5p	18
mmu-miR-493-3p	22
mmu-mir-337	96
mmu-miR-337-5p	21
mmu-miR-337-3p	21
mmu-mir-3544	60
mmu-miR-3544-5p	22
mmu-miR-3544-3p	21
mmu-mir-540	66
mmu-miR-540-5p	22
mmu-miR-540-3p	19
mmu-mir-665	93
mmu-miR-665-5p	25
mmu-miR-665-3p	19
mmu-mir-3070-1	88
mmu-miR-3070-5p	22
mmu-miR-3070-3p	21
mmu-mir-3070-2	88
mmu-miR-3070-2-3p	21
mmu-miR-3070-5p	22
mmu-mir-431	90
mmu-miR-431-5p	20
mmu-miR-431-3p	21
mmu-mir-433	123
mmu-miR-433-5p	21
mmu-miR-433-3p	21
mmu-mir-127	69
mmu-miR-127-5p	21
mmu-miR-127-3p	21
mmu-mir-434	93
mmu-miR-434-5p	21
mmu-miR-434-3p	21
mmu-mir-432	74
mmu-miR-432	22
mmu-mir-3071	79
mmu-miR-3071-5p	21
mmu-miR-3071-3p	21
mmu-mir-136	61
mmu-miR-136-5p	21
mmu-miR-136-3p	21
mmu-mir-341	95
mmu-miR-341-5p	20
mmu-miR-341-3p	20
mmu-mir-1188	119
mmu-miR-1188-5p	20
mmu-miR-1188-3p	24
mmu-mir-370	78
mmu-miR-370-5p	19
mmu-miR-370-3p	21
mmu-mir-882	76
mmu-miR-882	21
mmu-mir-379	65
mmu-miR-379-5p	20
mmu-miR-379-3p	21
mmu-mir-411	81
mmu-miR-411-5p	20
mmu-miR-411-3p	21
mmu-mir-299a	62
mmu-miR-299a-5p	21
mmu-miR-299a-3p	21
mmu-mir-299b	48
mmu-miR-299b-5p	20
mmu-miR-299b-3p	17
mmu-mir-380	60
mmu-miR-380-5p	21
mmu-miR-380-3p	21
mmu-mir-1197	119
mmu-miR-1197-5p	20
mmu-miR-1197-3p	20
mmu-mir-323	85
mmu-miR-323-5p	21
mmu-miR-323-3p	20
mmu-mir-758	80
mmu-miR-758-5p	20
mmu-miR-758-3p	18
mmu-mir-329	96
mmu-miR-329-5p	21
mmu-miR-329-3p	21
mmu-mir-494	84
mmu-miR-494-5p	21
mmu-miR-494-3p	21
mmu-mir-679	73
mmu-miR-679-5p	21
mmu-miR-679-3p	21
mmu-mir-1193	120
mmu-miR-1193-5p	19
mmu-miR-1193-3p	20
mmu-mir-666	98
mmu-miR-666-5p	21
mmu-miR-666-3p	21
mmu-mir-543	75
mmu-miR-543-5p	20
mmu-miR-543-3p	21
mmu-mir-495	62
mmu-miR-495-5p	22
mmu-miR-495-3p	21
mmu-mir-667	91
mmu-miR-667-5p	24
mmu-miR-667-3p	22
mmu-mir-376c	85
mmu-miR-376c-5p	21
mmu-miR-376c-3p	20
mmu-mir-654	83
mmu-miR-654-5p	21
mmu-miR-654-3p	21
mmu-mir-376b	81
mmu-miR-376b-5p	21
mmu-miR-376b-3p	20
mmu-mir-376a	67
mmu-miR-376a-5p	21
mmu-miR-376a-3p	20
mmu-mir-300	78
mmu-miR-300-5p	21
mmu-miR-300-3p	21
mmu-mir-381	74
mmu-miR-381-5p	22
mmu-miR-381-3p	21
mmu-mir-487b	81
mmu-miR-487b-5p	20
mmu-miR-487b-3p	21
mmu-mir-539	73
mmu-miR-539-5p	21
mmu-miR-539-3p	21
mmu-mir-544	77
mmu-miR-544-5p	20
mmu-miR-544-3p	21
mmu-mir-382	75
mmu-miR-382-5p	21
mmu-miR-382-3p	21
mmu-mir-134	70
mmu-miR-134-5p	21
mmu-miR-134-3p	19
mmu-mir-668	65
mmu-miR-668-5p	23
mmu-miR-668-3p	23
mmu-mir-485	72
mmu-miR-485-5p	21
mmu-miR-485-3p	21
mmu-mir-453	81
mmu-miR-453	23
mmu-mir-154	65
mmu-miR-154-5p	21
mmu-miR-154-3p	21
mmu-mir-496a	78
mmu-miR-496a-5p	20
mmu-miR-496a-3p	21
mmu-mir-377	67
mmu-miR-377-5p	21
mmu-miR-377-3p	21
mmu-mir-541	89
mmu-miR-541-5p	24
mmu-miR-541-3p	21
mmu-mir-409	78
mmu-miR-409-5p	22
mmu-miR-409-3p	21
mmu-mir-412	79
mmu-miR-412-5p	22
mmu-miR-412-3p	19
mmu-mir-369	78
mmu-miR-369-5p	21
mmu-miR-369-3p	20
mmu-mir-410	80
mmu-miR-410-5p	20
mmu-miR-410-3p	20
mmu-mir-3072	82
mmu-miR-3072-5p	21
mmu-miR-3072-3p	21
mmu-mir-1247	81
mmu-miR-1247-5p	21
mmu-miR-1247-3p	20
mmu-mir-3073a	84
mmu-miR-3073a-5p	21
mmu-miR-3073a-3p	21
mmu-mir-3073b	59
mmu-miR-3073b-5p	21
mmu-miR-3073b-3p	21
mmu-mir-203	75
mmu-miR-203-5p	21
mmu-miR-203-3p	21
mmu-mir-203b	59
mmu-miR-203b-5p	19
mmu-miR-203b-3p	21
mmu-mir-6939	74
mmu-miR-6939-5p	20
mmu-miR-6939-3p	19
mmu-mir-6940	69
mmu-miR-6940-5p	22
mmu-miR-6940-3p	22
mmu-mir-6941	58
mmu-miR-6941-5p	20
mmu-miR-6941-3p	20
mmu-mir-7094-1	59
mmu-miR-7094-1-5p	22
mmu-miR-7094-3p	20
mmu-mir-7094-2	59
mmu-miR-7094b-2-5p	22
mmu-miR-7094-3p	20
mmu-mir-6388	74
mmu-miR-6388	20
mmu-mir-153	68
mmu-miR-153-5p	22
mmu-miR-153-3p	21
mmu-mir-466i	120
mmu-miR-466i-5p	19
mmu-miR-466i-3p	21
mmu-mir-6942	60
mmu-miR-6942-5p	20
mmu-miR-6942-3p	21
mmu-mir-1896	80
mmu-miR-1896	21
mmu-mir-1983	131
mmu-miR-1983	20
mmu-mir-12184	63
mmu-miR-12184-5p	21
mmu-miR-12184-3p	20
mmu-mir-6368	92
mmu-miR-6368	20
mmu-mir-5124a	71
mmu-miR-5124a	19
mmu-let-7d	102
mmu-let-7d-5p	21
mmu-let-7d-3p	21
mmu-let-7f-1	88
mmu-let-7f-5p	21
mmu-let-7f-1-3p	21
mmu-let-7a-1	93
mmu-let-7a-5p	21
mmu-let-7a-1-3p	21
mmu-mir-683-1	108
mmu-miR-683	20
mmu-mir-683-2	108
mmu-miR-683	20
mmu-mir-1271	82
mmu-miR-1271-5p	21
mmu-miR-1271-3p	22
mmu-mir-6943	65
mmu-miR-6943-5p	19
mmu-miR-6943-3p	21
mmu-mir-6944	95
mmu-miR-6944-5p	22
mmu-miR-6944-3p	22
mmu-mir-6945	67
mmu-miR-6945-5p	21
mmu-miR-6945-3p	20
mmu-mir-874	75
mmu-miR-874-5p	21
mmu-miR-874-3p	21
mmu-mir-6369	105
mmu-miR-6369	22
mmu-mir-7a-1	107
mmu-miR-7a-5p	22
mmu-miR-7a-1-3p	21
mmu-mir-713	107
mmu-miR-713	18
mmu-mir-23b	73
mmu-miR-23b-5p	20
mmu-miR-23b-3p	20
mmu-mir-27b	72
mmu-miR-27b-5p	21
mmu-miR-27b-3p	20
mmu-mir-3074-1	84
mmu-miR-3074-5p	21
mmu-miR-3074-1-3p	21
mmu-mir-24-1	67
mmu-miR-24-1-5p	22
mmu-miR-24-3p	21
mmu-mir-466f-4	120
mmu-miR-466f	21
mmu-mir-692-3	108
mmu-miR-692	20
mmu-mir-682	95
mmu-miR-682	20
mmu-mir-3961	58
mmu-miR-3961	18
mmu-mir-9-2	71
mmu-miR-9-5p	22
mmu-miR-9-3p	21
mmu-mir-9b-2	55
mmu-miR-9b-5p	20
mmu-miR-9b-3p	20
mmu-mir-5624	60
mmu-miR-5624-5p	17
mmu-miR-5624-3p	21
mmu-mir-582	80
mmu-miR-582-5p	21
mmu-miR-582-3p	20
mmu-mir-1904	79
mmu-miR-1904	21
mmu-mir-449c	108
mmu-miR-449c-5p	20
mmu-miR-449c-3p	21
mmu-mir-449b	79
mmu-miR-449b	19
mmu-mir-449a	90
mmu-miR-449a-5p	21
mmu-miR-449a-3p	21
mmu-mir-5124b	84
mmu-miR-5124b	20
mmu-mir-6946	68
mmu-miR-6946-5p	20
mmu-miR-6946-3p	19
mmu-mir-7210	53
mmu-miR-7210-5p	22
mmu-miR-7210-3p	23
mmu-mir-3075	84
mmu-miR-3075-5p	20
mmu-miR-3075-3p	20
mmu-mir-7672	61
mmu-miR-7672-5p	21
mmu-miR-7672-3p	20
mmu-mir-6947	64
mmu-miR-6947-5p	20
mmu-miR-6947-3p	21
mmu-mir-3076	59
mmu-miR-3076-5p	23
mmu-miR-3076-3p	22
mmu-mir-346	97
mmu-miR-346-5p	22
mmu-miR-346-3p	21
mmu-mir-327	68
mmu-miR-327	18
mmu-mir-5131	92
mmu-miR-5131	22
mmu-mir-378c	98
mmu-miR-378c	20
mmu-mir-686	108
mmu-miR-686	21
mmu-mir-6948	61
mmu-miR-6948-5p	21
mmu-miR-6948-3p	20
mmu-mir-208a	82
mmu-miR-208a-5p	21
mmu-miR-208a-3p	21
mmu-mir-208b	76
mmu-miR-208b-5p	21
mmu-miR-208b-3p	21
mmu-mir-6949	67
mmu-miR-6949-5p	22
mmu-miR-6949-3p	20
mmu-mir-3077	63
mmu-miR-3077-5p	24
mmu-miR-3077-3p	21
mmu-mir-719	109
mmu-miR-719	21
mmu-mir-16-1	92
mmu-miR-16-5p	21
mmu-miR-16-1-3p	21
mmu-mir-15a	83
mmu-miR-15a-5p	21
mmu-miR-15a-3p	21
mmu-mir-8098	136
mmu-miR-8098	20
mmu-mir-6541	109
mmu-miR-6541	20
mmu-mir-12185	56
mmu-miR-12185-5p	24
mmu-miR-12185-3p	21
mmu-mir-598	78
mmu-miR-598-5p	22
mmu-miR-598-3p	21
mmu-mir-124-1	84
mmu-miR-124-5p	21
mmu-miR-124-3p	19
mmu-mir-3078	86
mmu-miR-3078-5p	22
mmu-miR-3078-3p	19
mmu-mir-6539	109
mmu-miR-6539	23
mmu-mir-6950	72
mmu-miR-6950-5p	22
mmu-miR-6950-3p	20
mmu-mir-320	81
mmu-miR-320-5p	21
mmu-miR-320-3p	21
mmu-mir-687	88
mmu-miR-687	21
mmu-mir-1971	105
mmu-miR-1971	17
mmu-mir-759	97
mmu-miR-759	21
mmu-mir-5130	83
mmu-miR-5130	23
mmu-mir-6390	128
mmu-miR-6390	20
mmu-mir-17	83
mmu-miR-17-5p	22
mmu-miR-17-3p	21
mmu-mir-18a	95
mmu-miR-18a-5p	22
mmu-miR-18a-3p	21
mmu-mir-19a	81
mmu-miR-19a-5p	21
mmu-miR-19a-3p	22
mmu-mir-20a	106
mmu-miR-20a-5p	22
mmu-miR-20a-3p	21
mmu-mir-19b-1	86
mmu-miR-19b-3p	22
mmu-miR-19b-1-5p	22
mmu-mir-92a-1	79
mmu-miR-92a-3p	20
mmu-miR-92a-1-5p	22
mmu-mir-6239	104
mmu-miR-6239	19
mmu-mir-6241	102
mmu-miR-6241	18
mmu-mir-6391	103
mmu-miR-6391	20
mmu-mir-1898	82
mmu-miR-1898	21
mmu-mir-7212	60
mmu-miR-7212-5p	20
mmu-miR-7212-3p	20
mmu-mir-7117	64
mmu-miR-7117-5p	21
mmu-miR-7117-3p	19
mmu-mir-3964	73
mmu-miR-3964	19
mmu-mir-599	87
mmu-miR-599	18
mmu-mir-875	77
mmu-miR-875-5p	21
mmu-miR-875-3p	20
